sample,role,read1,read2
A_T_4,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_4/A_T_4_MKDL250001067-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_03/01.RawData/A_T_4/A_T_4_MKDL250001067-1A_22LK2KLT4_L1_2.fq.gz
A_12_1,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_1/A_12_1_MKDL250001020-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_1/A_12_1_MKDL250001020-1A_22LK2KLT4_L2_2.fq.gz
A_12_10,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_10/A_12_10_MKDL250001029-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_10/A_12_10_MKDL250001029-1A_22LK2KLT4_L3_2.fq.gz
A_12_11,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_11/A_12_11_MKDL250001030-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_11/A_12_11_MKDL250001030-1A_22LK2KLT4_L3_2.fq.gz
A_12_12,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_12/A_12_12_MKDL250001031-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_12/A_12_12_MKDL250001031-1A_22LK2KLT4_L1_2.fq.gz
A_12_13,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_13/A_12_13_MKDL250001032-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_13/A_12_13_MKDL250001032-1A_22LK2KLT4_L3_2.fq.gz
A_12_14,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_14/A_12_14_MKDL250001033-1A_22LK2KLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_14/A_12_14_MKDL250001033-1A_22LK2KLT4_L3_2.fq.gz
A_12_15,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_15/A_12_15_MKDL250001034-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_15/A_12_15_MKDL250001034-1A_22LK2KLT4_L1_2.fq.gz
A_12_16,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_16/A_12_16_MKDL250001035-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_16/A_12_16_MKDL250001035-1A_22LK2KLT4_L1_2.fq.gz
A_12_17,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_17/A_12_17_MKDL250001036-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_17/A_12_17_MKDL250001036-1A_22LK2KLT4_L1_2.fq.gz
A_12_18,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_18/A_12_18_MKDL250001037-1A_22LK2CLT4_L3_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_18/A_12_18_MKDL250001037-1A_22LK2CLT4_L3_2.fq.gz
A_12_18,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_18/A_12_18_MKDL250001037-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_18/A_12_18_MKDL250001037-1A_22LK2KLT4_L1_2.fq.gz
A_12_19,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_19/A_12_19_MKDL250001038-1A_22LK2KLT4_L1_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_19/A_12_19_MKDL250001038-1A_22LK2KLT4_L1_2.fq.gz
A_12_2,tf,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_2/A_12_2_MKDL250001021-1A_22LK2KLT4_L2_1.fq.gz,/mnt/ada/projects/aspseq/nstreet/DAP-seq_aspen_2025/DAP-seq_aspen_2025/X204SC24093991-Z01-F002_unpacked/raw/X204SC24093991-Z01-F002_04/01.RawData/A_12_2/A_12_2_MKDL250001021-1A_22LK2KLT4_L2_2.fq.gz
